Date,Open,High,Low,Close,Adj Close,Volume
30-09-2022,141.279999,143.100006,138,138.199997,137.570496,124925300
03-10-2022,138.210007,143.070007,137.690002,142.449997,141.801132,114311700
04-10-2022,145.029999,146.220001,144.259995,146.100006,145.434525,87830100
05-10-2022,144.070007,147.380005,143.009995,146.399994,145.733139,79471000
06-10-2022,145.809998,147.539993,145.220001,145.429993,144.767563,68402200
07-10-2022,142.539993,143.100006,139.449997,140.089996,139.451889,85925600
10-10-2022,140.419998,141.889999,138.570007,140.419998,139.780396,74899000
11-10-2022,139.899994,141.350006,138.220001,138.979996,138.346954,77033700
12-10-2022,139.130005,140.360001,138.160004,138.339996,137.709869,70433700
13-10-2022,134.990005,143.589996,134.369995,142.990005,142.338699,113224000
14-10-2022,144.309998,144.520004,138.190002,138.380005,137.749695,88598000
17-10-2022,141.070007,142.899994,140.270004,142.410004,141.761322,85250900
18-10-2022,145.490005,146.699997,140.610001,143.75,143.095215,99136600
19-10-2022,141.690002,144.949997,141.5,143.860001,143.204712,61758300
20-10-2022,143.020004,145.889999,142.649994,143.389999,142.736862,64522000
21-10-2022,142.869995,147.850006,142.649994,147.270004,146.599197,86548600
24-10-2022,147.190002,150.229996,146,149.449997,148.769257,75981900
25-10-2022,150.089996,152.490005,149.360001,152.339996,151.646103,74732300
26-10-2022,150.960007,151.990005,148.039993,149.350006,148.669708,88194300
27-10-2022,148.070007,149.050003,144.130005,144.800003,144.140442,109180200
28-10-2022,148.199997,157.5,147.820007,155.740005,155.030609,164762400
31-10-2022,153.160004,154.240005,151.919998,153.339996,152.641541,97943200
01-11-2022,155.080002,155.449997,149.130005,150.649994,149.963791,80379300
02-11-2022,148.949997,152.169998,145,145.029999,144.369385,93604600
03-11-2022,142.059998,142.800003,138.75,138.880005,138.247406,97918500
04-11-2022,142.089996,142.669998,134.380005,138.380005,137.978195,140814800
07-11-2022,137.110001,139.149994,135.669998,138.919998,138.516617,83374600
08-11-2022,140.410004,141.429993,137.490005,139.5,139.09494,89908500
09-11-2022,138.5,138.550003,134.589996,134.869995,134.478378,74917800
10-11-2022,141.240005,146.869995,139.5,146.869995,146.443527,118854000
11-11-2022,145.820007,150.009995,144.369995,149.699997,149.26532,93979700
14-11-2022,148.970001,150.279999,147.429993,148.279999,147.849442,73374100
15-11-2022,152.220001,153.589996,148.559998,150.039993,149.604324,89868300
16-11-2022,149.130005,149.869995,147.289993,148.789993,148.357956,64218300
17-11-2022,146.429993,151.479996,146.149994,150.720001,150.282349,80389400
18-11-2022,152.309998,152.699997,149.970001,151.289993,150.850693,74829600
21-11-2022,150.160004,150.369995,147.720001,148.009995,147.580231,58724100
22-11-2022,148.130005,150.419998,146.929993,150.179993,149.743912,51804100
23-11-2022,149.449997,151.830002,149.339996,151.070007,150.631348,58301400
25-11-2022,148.309998,148.880005,147.119995,148.110001,147.679947,35195900
28-11-2022,145.139999,146.639999,143.380005,144.220001,143.801239,69246000
